Order (chronological),Display Title,Year (Almanac),Year (Wikipedia),Year Mismatch?,Type (auto),Director,Genre (source),Summary,Tags (manual),Controlled Tags,WBN Notes (factual),War-adjacent? (manual),International focus? (manual),Pre-FNL era? (auto),Pre-Moneyball era? (auto),Tags (auto),Baseball level,Setting (state/country),Release Decade,Almanac Details,Almanac Link,Wikipedia Link,Sources,Last verified,Needs research?,Simmons Top21?,Simmons Top21 Rank,Simmons Honorable Mention?,Simmons Not Mentioned?,Simmons Notes,Stream (Library),Stream (FAST),
163,Baseball,1994,1994,,Documentary,Ken Burns,Documentary,"Comprehensive history of the game, 18 hours-plus, as chronicled by Ken Burns . [ 95 ]",,,,,,Yes,Yes,,,,1990s,,,https://en.wikipedia.org/wiki/Baseball_(TV_series),https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
164,Baseball - A Film by Ken Burns,1994,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/0780630459/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
165,Cobb,1994,1994,,,Ron Shelton,Biographical,"The career and last days of Ty Cobb , played by Tommy Lee Jones . [ 97 ]",,,,,,Yes,Yes,biopic/true story,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6303443222/baseballalmanac,https://en.wikipedia.org/wiki/Cobb_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
166,Little Big League,1994,1994,,,Andrew Scheinman,Comedy,A child becomes owner of the Minnesota Twins . [ 98 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/0790731177/baseballalmanac,https://en.wikipedia.org/wiki/Little_Big_League,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
167,Major League II,1994,1994,,,David S. Ward,Comedy,Second film in the Major League series about the Cleveland Indians . [ 99 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00000F14G/baseballalmanac,https://en.wikipedia.org/wiki/Major_League_II,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
168,The Scout,1994,1994,,,Michael Ritchie,Comedy,A New York Yankees scout ( Albert Brooks ) finds a phenomenal but psychologically troubled prospect. [ 100 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6303327966/baseballalmanac,https://en.wikipedia.org/wiki/The_Scout_(1994_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
169,Cooperstown : Baseball's Main Street,1995,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00001X5BY/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
170,Hank Aaron: Chasing the Dream,1995,1995,,Documentary,Michael Tollin,Documentary,"Aaron's pursuit of Babe Ruth 's all-time homer record, directed by Michael Tollin . [ 102 ]",,,,,,Yes,Yes,,,,1990s,,,https://en.wikipedia.org/wiki/Hank_Aaron:_Chasing_the_Dream,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
171,Past The Bleachers,1995,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/630380991X/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
172,Baseball Girls,1996,1995,Yes,Documentary,Lois Siegel,Documentary,A history of women's baseball. [ 101 ],,,,,,Yes,Yes,,,,1990s,Amazon,,https://en.wikipedia.org/wiki/Baseball_Girls,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
173,Dorf on the Diamond,1996,1996,,Short,Berry Landen [ citation needed ],Comedy,Direct-to-video short film in the Dorf series starring Tim Conway . [ 103 ],,,,,,Yes,Yes,,,,1990s,,,https://en.wikipedia.org/wiki/Dorf_on_the_Diamond,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
174,Ed,1996,1996,,,Bill Couturié,Comedy,Matt LeBlanc befriends a baseball-playing chimpanzee. [ 104 ],,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6304080972/baseballalmanac,https://en.wikipedia.org/wiki/Ed_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
175,Soul of the Game,1996,1996,,,Kevin Rodney Sullivan,Biographical,"Story of baseball trailblazers including Jackie Robinson , Satchel Paige , Josh Gibson . [ 106 ]",,,,,,Yes,Yes,biopic/true story,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6304128649/baseballalmanac,https://en.wikipedia.org/wiki/Soul_of_the_Game,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
176,Space Jam,1996,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B0000AYJXR/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
177,The Fan,1996,1996,,,Tony Scott,Thriller,"A deranged San Francisco fan ( Robert De Niro ) kills a player, kidnaps another's son. [ 105 ]",,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/6304282893/baseballalmanac,https://en.wikipedia.org/wiki/The_Fan_(1996_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
178,Joe Torre: Curveballs Along the Way,1997,1997,,,Sturla Gunnarsson,Biographical,Paul Sorvino as the former New York Yankees manager. [ 107 ],,,,,,Yes,Yes,biopic/true story,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B0002DJTLG/baseballalmanac,https://en.wikipedia.org/wiki/Joe_Torre:_Curveballs_Along_the_Way,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
179,"Where Have You Gone, Joe DiMaggio?",1997,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00005Y6YG/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
180,BASEketball,1998,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/0783229674/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
181,Babe Ruth - The Life Behind the Legend,1998,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00005Y6YH/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
182,If the Sun Rises in the West,1998,1998,,,Lee Eun,Drama,South Korean story of an umpire. [ 109 ],,,,,,Yes,Yes,international,,,1990s,,,https://en.wikipedia.org/wiki/If_the_Sun_Rises_in_the_West,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
183,Major League 3 : Back To The Minors,1998,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00000DHKN/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
184,Major League: Back to the Minors,1998,1998,,,John Warren,Comedy,Third film in the Major League series. [ 110 ],,,,,,Yes,Yes,,,,1990s,,,https://en.wikipedia.org/wiki/Major_League:_Back_to_the_Minors,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
185,Simon Birch,1998,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/630526886X/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
186,The Life and Times of Hank Greenberg,1998,1998,,Documentary,Aviva Kempner,Documentary,The life and career of a former Detroit Tigers star and war hero. [ 108 ],,,,,,Yes,Yes,war-adjacent,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00005NTOI/baseballalmanac,https://en.wikipedia.org/wiki/The_Life_and_Times_of_Hank_Greenberg,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
187,World Series Fix: Black Sox Scandal,1998,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B000009EB2/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
188,For Love of the Game,1999,1999,,,Sam Raimi,Drama,"In possibly his last start, a Detroit pitcher ( Kevin Costner ) goes after a perfect game. [ 111 ]",,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004U2N6/baseballalmanac,https://en.wikipedia.org/wiki/For_Love_of_the_Game_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
189,Major League Baseball All Century Team,1999,,,,,,,,,,,,Yes,Yes,,,,1990s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004Y509/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
190,Angels in the Infield,2000,2000,,TV Movie,Robert King,Comedy,Patrick Warburton in second made-for-TV sequel to the 1994 film . [ 113 ],,,,,,Yes,Yes,war-adjacent,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004Y7FC/baseballalmanac,https://en.wikipedia.org/wiki/Angels_in_the_Infield,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
191,Finding Buck McHenry,2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00005B6NO/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
192,Frequency,2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004Z1MN/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
193,"Greener Grass - Cuba, Baseball and the U.S.",2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004W1T2/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
194,MLB Superstars Show You Their Game,2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0009N7R2M/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
195,Modern Marvels - Baseball Parks (History Channel),2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0007WFUN8/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
196,My Dog Skip,2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004TJTS/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
197,Only The Ball Was White,2000,1981,Yes,Documentary,Ken Solarz,Documentary,A tribute to the topflight players of the Negro leagues . [ 63 ],,,,,,Yes,Yes,negro leagues,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/6302900824/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
198,Perfect Game,2000,2000,,TV Movie,Dan Guntzelman,Comedy,Television film starring Ed Asner . [ 112 ],,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/6305803544/baseballalmanac,https://en.wikipedia.org/wiki/Perfect_Game_(2000_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
199,The Broken Hearts Club,2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0000560PU/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
200,When It Was a Game,2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/0783117531/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
201,When It Was a Game 3,2000,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00004XMV8/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
202,61*,2001,2001,,TV Movie,Billy Crystal,Drama,HBO film directed by Billy Crystal about the 1961 season of Roger Maris and Mickey Mantle . [ 114 ],,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00005M20M/baseballalmanac,https://en.wikipedia.org/wiki/61*,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
203,A Little Inside,2001,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00008DDUD/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
204,All Over Again (Against Time),2001,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
205,Boston Red Sox: 100 Years of Baseball History,2001,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00008G697/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
206,Hardball,2001,2001,,,Brian Robbins,Drama,Keanu Reeves as a young man who takes charge of an inner-city team. [ 115 ],,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00005JKE3/baseballalmanac,https://en.wikipedia.org/wiki/Hardball_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,Y,15,,,Baseball-related; ranked in Simmons Top 21 sports movies (21st century).,Bill Simmons Podcast: '21 Best Sports Movies of the 21st Century' transcript,,
207,Summer Catch,2001,2001,,,Michael Tollin,Romance,"Fictional love story starring Freddie Prinze, Jr. . [ 116 ]",,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00005QWAJ/baseballalmanac,https://en.wikipedia.org/wiki/Summer_Catch,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
208,The 30 Most Memorable Moments in Baseball History,2001,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00006L937/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
209,When It Was a Game - Triple Play Collection,2001,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00005B32G/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
210,When It Was a Game 2,2001,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000059H7M/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
211,Wrigley Field: Beyond the Ivy,2001,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0001NXL34/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
212,Air Bud: Seventh Inning Fetch,2002,2002,,,Robert Vince,Comedy,Fourth entry in the Air Bud series. [ 117 ],,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0000639LE/baseballalmanac,https://en.wikipedia.org/wiki/Air_Bud:_Seventh_Inning_Fetch,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
213,Bleacher Bums,2002,2002,,TV Movie,Saul Rubinek,Comedy,TV version of the 1970s stage play about diehard fans in the outfield bleachers. [ 119 ],,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00006RCNA/baseballalmanac,https://en.wikipedia.org/wiki/Bleacher_Bums,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
214,The Rookie,2002,2002,,,John Lee Hancock,Biographical,"Based on true story of a high school coach, pitcher Jim Morris , portrayed by Dennis Quaid . [ 118 ]",,,,,,Yes,Yes,biopic/true story,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000068DBE/baseballalmanac,https://en.wikipedia.org/wiki/The_Rookie_(2002_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,Y,17,,,Baseball-related; ranked in Simmons Top 21 sports movies (21st century).,Bill Simmons Podcast: '21 Best Sports Movies of the 21st Century' transcript,Disney+,
215,100 Years of the New York Yankees,2003,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0000AVHA5/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
216,Ball of Wax,2003,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00073K7ZI/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
217,Battlefield Baseball,2003,2003,,,Yūdai Yamaguchi,Action,Japanese film. [ 120 ],,,,,,Yes,Yes,international,,,2000s,Amazon,,https://en.wikipedia.org/wiki/Battlefield_Baseball,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
218,Boston Red Sox - Cowboy Up! The Wild Ride of,2003,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000159EDI/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
219,Day of Independence,2003,2003,,Short,Chris Tashima,Drama,Short film about baseball in a Japanese-American internment camp during World War II. [ 121 ],,,,,,Yes,Yes,"war-adjacent, international",,,2000s,,,https://en.wikipedia.org/wiki/Day_of_Independence,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
220,MLB - All Access Sound,2003,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00009W0VZ/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
221,Major League Baseball - 100 Years of the World Series,2003,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0000C8261/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
222,Mickey - A Family Story by John Grisham,2003,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00076YP0I/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
223,The Curse of the Bambino,2003,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0001I56LY/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
224,Yankee Immortals,2003,,,,,,,,,,,,Yes,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B00009WVLY/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
225,Awesome All-Star Action,2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0002CHJFU/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
226,Baseball's Greatest Rivalries,2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0001LJC6Q/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
227,Faith Rewarded - The Historic Season of the 2004 Red Sox,2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0017R0BNQ/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
228,Hu$tle,2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0006Q941Y/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
229,Hustle,2004,2004,,,Peter Bogdanovich,Biographical,"ESPN dramatization on success and scandal of Pete Rose , starring Tom Sizemore . [ 122 ]",,,,,,No,Yes,biopic/true story,,,2000s,,,https://en.wikipedia.org/wiki/Hustle_(2004_film),https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
230,Mickey,2004,2004,,,Hugh Wilson,Drama,John Grisham story about a Little Leaguer and his father. [ 123 ],,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/Mickey_(2004_film),https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
231,Mr.,2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0006GAI6E/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
232,Mr. 3000,2004,2004,,,Charles Stone III,Comedy,"A potential Hall of Famer ( Bernie Mac ) is told he's actually three hits shy of 3,000. [ 124 ]",,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/Mr._3000,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
233,Nine Innings From Ground Zero,2004,2004,,Documentary,,Documentary,How the 2001 World Series helped America cope with 9/11 . [ 125 ],,,,,,No,Yes,,,,2000s,,,,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
234,Nine Innings From Ground Zero: The 2001 World Series,2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0007939LG/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
235,Reverse of the Curse of the Bambino,2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0007939LQ/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
236,Still We Believe: The Boston Red Sox Movie,2004,2004,,Documentary,Paul Doyle Jr.,Documentary,A chronicle of the 2003 Boston Red Sox season . [ 74 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0002ABUWU/baseballalmanac,https://en.wikipedia.org/wiki/Still_We_Believe:_The_Boston_Red_Sox_Movie,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
237,The Winning Season,2004,2004,,,John Kent Harrison,Drama,A child from 1985 wakes up in 1909 and meets hero Honus Wagner ( Matthew Modine ). [ 128 ],,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0007R4TIA/baseballalmanac,https://en.wikipedia.org/wiki/The_Winning_Season_(2004_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
238,This Old Cub,2004,2004,,Documentary,Jeff Santo,Documentary,"Chronicles life of Ron Santo , focusing on his struggle with type 1 diabetes . [ 126 ]",,,,,,No,Yes,,,,2000s,,,https://en.wikipedia.org/wiki/This_Old_Cub,https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
239,This Old Cub: The Inspiring Story of Chicago Legend Ron Santo,2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0009WFFTK/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
240,"Touching the Game, The Story of The Cape Cod Baseball League",2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0002US54G/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
241,Up for Grabs,2004,2004,,Documentary,Michael Wranovics,Documentary,A battle over who owns ball hit in 2001 by Barry Bonds for his 73rd home run. [ 127 ],,,,,,No,Yes,,,,2000s,Amazon,,https://en.wikipedia.org/wiki/Up_for_Grabs_(film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
242,"Yankeeography, Vol. 1",2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0001KL5J4/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
243,"Yankeeography, Vol. 2",2004,,,,,,,,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B0002HOECQ/baseballalmanac,,https://www.baseball-almanac.com/movie_f1.shtml,2026-01-06,Yes,,,,,,,,
244,Bad News Bears,2005,2005,,,Richard Linklater,Comedy,"Remake of 1976 film of same name, starring Billy Bob Thornton . [ 131 ]",,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000BDH68K/baseballalmanac,https://en.wikipedia.org/wiki/Bad_News_Bears,https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
245,Fever Pitch,2005,2005,,,Peter Farrelly and Bobby Farrelly,Rom-Com,"Loosely based on Nick Hornby soccer story, in this case a Boston Red Sox fan ( Jimmy Fallon ). [ 129 ]",,,,,,No,Yes,,,,2000s,Amazon,https://www.amazon.com/exec/obidos/asin/B000A3XZ0Y/baseballalmanac,https://en.wikipedia.org/wiki/Fever_Pitch_(2005_film),https://www.baseball-almanac.com/movie_f1.shtml; https://en.wikipedia.org/wiki/List_of_baseball_films,2026-01-06,No,,,,,,,,
